行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
文山區,樟新里,1,1,18,18,2185,5363,2507,2856
文山區,樟腳里,1,1,16,16,2097,5433,2601,2832
文山區,萬芳里,1,1,33,33,3216,7741,3618,4123
文山區,博嘉里,1,1,21,21,2326,5900,2795,3105
文山區,萬興里,1,1,31,31,3330,8381,4016,4365
文山區,指南里,1,1,18,18,1826,4183,2109,2074
文山區,老泉里,1,1,9,9,354,871,459,412
文山區,忠順里,1,1,17,17,1775,4102,1912,2190
文山區,萬美里,1,1,30,30,2894,7059,3344,3715
文山區,政大里,1,1,21,21,3077,8040,3875,4165
文山區,樟文里,1,1,22,22,2383,6065,2949,3116
文山區,興邦里,1,1,18,18,2216,4888,2295,2593
文山區,樟樹里,1,1,16,16,1781,4614,2214,2400
文山區,萬芳里,1,1,33,33,3216,7741,3618,4123
文山區,博嘉里,1,1,21,21,2326,5900,2795,3105
文山區,萬興里,1,1,31,31,3330,8381,4016,4365
文山區,指南里,1,1,18,18,1826,4183,2109,2074
文山區,老泉里,1,1,9,9,354,871,459,412
文山區,忠順里,1,1,17,17,1775,4102,1912,2190
文山區,萬美里,1,1,30,30,2894,7059,3344,3715
文山區,政大里,1,1,21,21,3077,8040,3875,4165
文山區,樟文里,1,1,22,22,2383,6065,2949,3116
文山區,興邦里,1,1,18,18,2216,4888,2295,2593
文山區,樟樹里,1,1,16,16,1781,4614,2214,2400
南港區,南港里,1,1,23,23,2922,6377,3240,3137
南港區,中南里,1,1,24,24,1407,3362,1677,1685
南港區,新富里,1,1,17,17,1555,3731,1805,1926
南港區,三重里,1,1,35,35,3739,7830,3678,4152
南港區,東新里,1,1,23,23,2691,6808,3315,3493
南港區,新光里,1,1,18,18,1532,3658,1710,1948
南港區,東明里,1,1,17,17,2520,5616,2671,2945
南港區,西新里,1,1,17,17,1766,4519,2191,2328
南港區,玉成里,1,1,21,21,1996,4569,2232,2337
南港區,合成里,1,1,26,26,2739,6319,3037,3282
南港區,成福里,1,1,29,29,2977,7220,3432,3788
南港區,萬福里,1,1,19,19,1733,4091,1945,2146
南港區,鴻福里,1,1,17,17,1751,4312,2031,2281
南港區,百福里,1,1,22,22,2159,5105,2448,2657
南港區,聯成里,1,1,19,19,1969,4587,2212,2375
南港區,舊莊里,1,1,36,35,3676,8786,4303,4483
南港區,中研里,1,1,35,35,3585,9085,4452,4633
南港區,九如里,1,1,28,28,2538,6310,3000,3310
南港區,仁福里,1,1,15,15,2236,5483,2689,2794
南港區,重陽里,1,1,14,14,2775,6125,2906,3219
內湖區,西湖里,1,1,33,33,2789,6685,3191,3494
內湖區,西康里,1,1,27,27,3978,9481,4394,5087
內湖區,西安里,1,1,23,23,2576,6323,2990,3333
內湖區,港墘里,1,1,22,22,2345,6038,2824,3214
內湖區,港都里,1,1,14,14,2134,5579,2659,2920
內湖區,港富里,1,1,30,30,3685,9571,4572,4999
內湖區,港華里,1,1,25,25,3448,9523,4487,5036
內湖區,內湖里,1,1,25,25,2957,6225,2808,3417
內湖區,湖濱里,1,1,34,34,3406,8400,3913,4487
內湖區,紫星里,1,1,39,39,3090,7764,3667,4097
內湖區,大湖里,1,1,25,25,2194,5284,2462,2822
內湖區,金龍里,1,1,23,23,2119,5147,2466,2681
內湖區,金瑞里,1,1,24,24,2683,6846,3235,3611
內湖區,碧山里,1,1,24,24,2781,7016,3339,3677
內湖區,紫雲里,1,1,23,23,2239,5596,2647,2949
內湖區,清白里,1,1,32,32,3835,8478,3922,4556
內湖區,葫洲里,1,1,20,20,2820,7588,3576,4012
內湖區,紫陽里,1,1,22,22,3459,8096,3823,4273
內湖區,瑞陽里,1,1,28,28,3143,7393,3444,3949
內湖區,瑞光里,1,1,20,20,1758,4271,1956,2315
內湖區,五分里,1,1,34,34,4070,11097,5226,5871
內湖區,東湖里,1,1,20,20,3114,8040,3846,4194
