縣市,區,權重,顏色
臺北市,總計,7.0,橙色
臺北市,松山區,3.64,綠色
臺北市,信義區,4.40,黃色
臺北市,大安區,5.48,黃色
臺北市,中山區,4.31,黃色
臺北市,中正區,3.46,綠色
臺北市,大同區,3.60,綠色
臺北市,萬華區,4.87,黃色
臺北市,文山區,3.75,綠色
臺北市,南港區,1.43,無色
臺北市,內湖區,3.33,綠色
臺北市,士林區,3.23,綠色
臺北市,北投區,2.63,綠色
